League,Team,Season,Player
france,AC Ajaccio,2012,andy delort
france,AC Ajaccio,2012,anthony lippini
france,AC Ajaccio,2012,carl medjani
france,AC Ajaccio,2012,felipe saad
france,AC Ajaccio,2012,guillermo ochoa
france,AC Ajaccio,2012,johan cavalli
france,AC Ajaccio,2012,mehdi mostefa
france,AC Ajaccio,2012,paul lasne
france,AC Ajaccio,2012,samuel bouhours
italy,AC Milan,2012,alberto aquilani
italy,AC Milan,2012,antonio nocerino
italy,AC Milan,2012,daniele bonera
italy,AC Milan,2012,ignazio abate
italy,AC Milan,2012,marco amelia
italy,AC Milan,2012,mathieu flamini
italy,AC Milan,2012,mattia de sciglio
italy,AC Milan,2012,stephan el shaarawy
italy,AC Milan,2012,taye taiwo
italy,AC Milan,2012,thiago silva
italy,AC Milan,2012,urby emanuelson
france,AJ Auxerre,2012,cyriaque rivieyran
france,AJ Auxerre,2012,dariusz dudka
france,AJ Auxerre,2012,willy boly
france,AJ Auxerre,2012,yaya sanogo
france,AS Nancy Lorraine,2012,benjamin jeannot
france,AS Nancy Lorraine,2012,benjamin moukandjo
france,AS Nancy Lorraine,2012,djamel bakar
france,AS Nancy Lorraine,2012,lionel cappone
france,AS Nancy Lorraine,2012,thomas mangani
france,AS Nancy Lorraine,2012,yohan mollo
italy,AS Roma,2012,aleandro rosi
italy,AS Roma,2012,bojan
italy,AS Roma,2012,daniele de rossi
italy,AS Roma,2012,david pizarro
italy,AS Roma,2012,erik lamela
italy,AS Roma,2012,fabio borini
italy,AS Roma,2012,federico viviani
italy,AS Roma,2012,fernando gago
italy,AS Roma,2012,francesco totti
italy,AS Roma,2012,junior tallo
italy,AS Roma,2012,leandro greco
italy,AS Roma,2012,maarten stekelenburg
italy,Atalanta,2012,andrea consigli
italy,Atalanta,2012,andrea masiello
italy,Atalanta,2012,carlos carmona
italy,Atalanta,2012,cristian raimondi
italy,Atalanta,2012,daniele capelli
italy,Atalanta,2012,ezequiel schelotto
italy,Atalanta,2012,federico peluso
italy,Atalanta,2012,giacomo bonaventura
italy,Atalanta,2012,guglielmo stendardo
italy,Atalanta,2012,guido marilungo
italy,Atalanta,2012,khouma babacar
italy,Atalanta,2012,luca cigarini
italy,Atalanta,2012,luca marrone
italy,Atalanta,2012,manolo gabbiadini
italy,Atalanta,2012,matteo brighi
spain,Athletic Bilbao,2012,fernando amorebieta
spain,Athletic Bilbao,2012,hugo fraile
spain,Athletic Bilbao,2012,keylor navas
spain,Atletico Madrid,2012,arda turan
spain,Atletico Madrid,2012,diego
spain,Atletico Madrid,2012,eduardo salvio
spain,Atletico Madrid,2012,falcao
spain,Atletico Madrid,2012,gabi
spain,Atletico Madrid,2012,miranda
spain,Atletico Madrid,2012,pizzi
spain,Atletico Madrid,2012,sergio asenjo
spain,Atletico Madrid,2012,thibaut courtois
spain,Atletico Madrid,2012,tiago
spain,Barcelona,2012,adriano
spain,Barcelona,2012,cristian tello
spain,Barcelona,2012,dani alves
spain,Barcelona,2012,david villa
spain,Barcelona,2012,ibrahim afellay
spain,Barcelona,2012,isaac cuenca
spain,Barcelona,2012,javier mascherano
spain,Barcelona,2012,jonathan dos santos
spain,Barcelona,2012,lionel messi
spain,Barcelona,2012,maxwell
spain,Barcelona,2012,pedro
spain,Barcelona,2012,portillo
spain,Barcelona,2012,sergi roberto
spain,Barcelona,2012,sergio busquets
germany,Bayer Leverkusen,2012,bastian oczipka
germany,Bayer Leverkusen,2012,bernd leno
germany,Bayer Leverkusen,2012,daniel schwaab
germany,Bayer Leverkusen,2012,danny da costa
germany,Bayer Leverkusen,2012,dominik kohr
germany,Bayer Leverkusen,2012,eren derdiyok
germany,Bayer Leverkusen,2012,fabian giefer
germany,Bayer Leverkusen,2012,gonzalo castro
germany,Bayer Leverkusen,2012,karim bellarabi
germany,Bayer Leverkusen,2012,lars bender
germany,Bayer Leverkusen,2012,michael ortega
germany,Bayer Leverkusen,2012,renato augusto
germany,Bayer Leverkusen,2012,sidney sam
germany,Bayer Leverkusen,2012,tranquillo barnetta
germany,Bayern Munich,2012,arjen robben
germany,Bayern Munich,2012,bastian schweinsteiger
germany,Bayern Munich,2012,david alaba
germany,Bayern Munich,2012,diego contento
germany,Bayern Munich,2012,holger badstuber
germany,Bayern Munich,2012,luiz gustavo
germany,Bayern Munich,2012,manuel neuer
germany,Bayern Munich,2012,nils petersen
germany,Bayern Munich,2012,philipp lahm
germany,Bayern Munich,2012,rafinha
germany,Bayern Munich,2012,takashi usami
germany,Bayern Munich,2012,toni kroos
italy,Bologna,2012,alessandro diamanti
italy,Bologna,2012,andrea raggi
italy,Bologna,2012,archimede morleo
italy,Bologna,2012,federico agliardi
italy,Bologna,2012,federico casarini
italy,Bologna,2012,ishak belfodil
italy,Bologna,2012,mikael antonsson
italy,Bologna,2012,nico pulzetti
italy,Bologna,2012,panagiotis kone
italy,Bologna,2012,rene krhin
