,Team Name,Player Name,Goals Scored,Unnamed: 0,Year,Team Initials,Home Team Goals,Away Team Goals,Total_goals
0,Algeria,Tedj BENSAOULA,2,170,1982.0,DZA,3.0,2.0,5.0
1,Algeria,Tedj BENSAOULA,2,194,1986.0,DZA,1.0,0.0,1.0
2,Algeria,Tedj BENSAOULA,2,363,2010.0,DZA,0.0,0.0,0.0
3,Algeria,Tedj BENSAOULA,2,395,2014.0,DZA,1.0,7.0,8.0
4,Argentina,TEVEZ,8,0,1930.0,ARG,16.0,2.0,18.0
5,Argentina,TEVEZ,8,13,1934.0,ARG,0.0,2.0,2.0
6,Argentina,TEVEZ,8,73,1958.0,ARG,4.0,1.0,5.0
7,Argentina,TEVEZ,8,89,1962.0,ARG,1.0,1.0,2.0
8,Argentina,TEVEZ,8,105,1966.0,ARG,4.0,0.0,4.0
9,Argentina,TEVEZ,8,137,1974.0,ARG,7.0,2.0,9.0
10,Argentina,TEVEZ,8,153,1978.0,ARG,15.0,0.0,15.0
11,Argentina,TEVEZ,8,171,1982.0,ARG,7.0,1.0,8.0
12,Argentina,TEVEZ,8,195,1986.0,ARG,13.0,1.0,14.0
13,Argentina,TEVEZ,8,218,1990.0,ARG,3.0,2.0,5.0
14,Argentina,TEVEZ,8,242,1994.0,ARG,6.0,2.0,8.0
15,Argentina,TEVEZ,8,266,1998.0,ARG,9.0,1.0,10.0
16,Argentina,TEVEZ,8,298,2002.0,ARG,1.0,1.0,2.0
17,Argentina,TEVEZ,8,331,2006.0,ARG,10.0,1.0,11.0
18,Argentina,TEVEZ,8,364,2010.0,ARG,8.0,2.0,10.0
19,Argentina,TEVEZ,8,396,2014.0,ARG,7.0,3.0,10.0
20,Australia,KEWELL,3,138,1974.0,AUS,0.0,0.0,0.0
21,Australia,KEWELL,3,332,2006.0,AUS,3.0,2.0,5.0
22,Australia,KEWELL,3,365,2010.0,AUS,2.0,1.0,3.0
23,Australia,KEWELL,3,397,2014.0,AUS,2.0,1.0,3.0
24,Austria,Walter SCHACHNER,6,14,1934.0,AUT,5.0,2.0,7.0
