player,season,total_shots,total_total_yellow_cards,total_total_red_cards,total_goals
aaron cresswell,2015,114,20.0,0.0,2
aaron cresswell,2016,106,4.0,0.0,2
aaron cresswell,2017,23,8.0,0.0,0
aaron hughes,2014,21,8.0,0.0,1
aaron hunt,2012,107,0.0,6.0,3
aaron hunt,2013,184,12.0,0.0,11
aaron hunt,2014,143,8.0,0.0,7
aaron hunt,2015,24,4.0,0.0,2
aaron hunt,2016,99,8.0,0.0,2
aaron hunt,2017,26,4.0,0.0,0
aaron lennon,2014,66,4.0,0.0,1
aaron lennon,2015,52,12.0,0.0,2
aaron lennon,2016,58,4.0,0.0,5
aaron lennon,2017,9,0.0,0.0,0
aaron leya iseka,2017,17,0.0,0.0,0
aaron martin,2017,41,4.0,0.0,0
aaron ramsey,2014,73,8.0,0.0,6
aaron ramsey,2015,129,24.0,0.0,6
aaron ramsey,2016,176,16.0,0.0,5
aaron ramsey,2017,45,12.0,0.0,0
aaron seydel,2017,12,0.0,0.0,1
aaron wilbraham,2014,2,0.0,0.0,0
abdelhamid el kaoutari,2012,18,8.0,0.0,0
abdelhamid el kaoutari,2013,73,8.0,6.0,0
abdelhamid el kaoutari,2014,82,12.0,6.0,1
abdelhamid el kaoutari,2015,85,12.0,0.0,0
abdelhamid el kaoutari,2016,39,8.0,0.0,1
abdelhamid el kaoutari,2017,2,0.0,0.0,0
abdou diallo,2015,1,0.0,0.0,0
abdou diallo,2017,15,0.0,0.0,0
abdoul ba,2015,16,0.0,0.0,0
abdoul razzagui camara,2012,17,0.0,0.0,1
abdoul sissoko,2015,24,4.0,0.0,0
abdoulay konko,2012,78,12.0,0.0,0
abdoulay konko,2013,85,12.0,0.0,1
abdoulay konko,2014,59,4.0,0.0,1
abdoulay konko,2015,8,0.0,0.0,0
abdoulay konko,2016,74,12.0,0.0,0
abdoulay konko,2017,28,8.0,0.0,0
abdoulaye ba,2015,74,40.0,0.0,1
abdoulaye bamba,2012,74,16.0,0.0,1
abdoulaye bamba,2017,7,4.0,0.0,1
abdoulaye diallo,2012,1,0.0,0.0,0
abdoulaye diallo,2016,4,0.0,0.0,0
abdoulaye keita,2012,1,0.0,0.0,0
abdoulaye keita,2013,5,0.0,0.0,0
abdoulaye keita,2014,9,0.0,0.0,0
abdoulaye keita,2015,9,0.0,0.0,0
abdoulaye keita,2017,6,0.0,0.0,0
abdul rahman baba,2013,32,0.0,0.0,0
abdul rahman baba,2015,51,12.0,0.0,0
abdul rahman baba,2017,36,8.0,0.0,0
abel aguilar,2013,149,56.0,0.0,3
abel aguilar,2014,108,28.0,0.0,1
abel aguilar,2015,48,20.0,0.0,0
abou diaby,2016,6,0.0,0.0,0
abou diaby,2017,5,4.0,0.0,0
aboubakar kamara,2015,1,0.0,0.0,0
abraham,2012,94,32.0,0.0,2
abraham,2013,284,112.0,0.0,2
abraham,2014,90,24.0,0.0,0
abraham,2015,222,56.0,0.0,4
abraham,2016,70,8.0,0.0,2
accursio bentivegna,2015,2,0.0,0.0,0
accursio bentivegna,2016,2,4.0,0.0,0
accursio bentivegna,2017,7,0.0,0.0,0
achraf lazaar,2015,98,8.0,0.0,2
achraf lazaar,2016,119,16.0,0.0,1
adam armstrong,2014,3,0.0,0.0,0
adam armstrong,2015,18,4.0,0.0,0
adam bodzek,2013,151,36.0,0.0,2
adam clayton,2017,63,20.0,0.0,0
adam federici,2016,4,0.0,0.0,0
adam federici,2017,1,4.0,0.0,0
adam forshaw,2017,58,12.0,0.0,0
adam lallana,2014,165,12.0,0.0,8
adam lallana,2015,113,16.0,0.0,5
adam lallana,2016,122,8.0,0.0,4
adam lallana,2017,74,8.0,0.0,7
adam masina,2016,115,32.0,6.0,2
adam masina,2017,67,16.0,0.0,1
adam matuschyk,2012,10,4.0,0.0,0
adam matuschyk,2015,18,0.0,0.0,0
adam ounas,2016,99,16.0,0.0,5
adam ounas,2017,50,16.0,6.0,0
adam smith,2016,228,40.0,0.0,4
adam smith,2017,192,48.0,0.0,2
adama ba,2012,20,0.0,0.0,0
adama ba,2013,28,4.0,0.0,0
adama ba,2014,39,4.0,0.0,3
adama diakhaby,2017,25,4.0,0.0,2
adama niane,2015,8,0.0,0.0,0
adama soumaoro,2014,11,0.0,6.0,0
adama soumaoro,2015,1,0.0,0.0,0
adama soumaoro,2016,86,24.0,0.0,1
adama soumaoro,2017,45,4.0,0.0,0
adel taarabt,2014,114,12.0,0.0,4
adel taarabt,2015,23,0.0,0.0,0
ademola lookman,2017,4,0.0,0.0,1
adil rami,2012,120,36.0,0.0,2
adil rami,2013,90,28.0,0.0,0
adil rami,2014,66,12.0,0.0,3
adil rami,2015,78,20.0,0.0,1
adil rami,2016,84,36.0,0.0,0
adil rami,2017,41,16.0,0.0,0
admir mehmedi,2014,191,8.0,0.0,12
admir mehmedi,2015,81,4.0,0.0,2
admir mehmedi,2016,86,8.0,0.0,2
admir mehmedi,2017,61,4.0,0.0,3
adnan januzaj,2014,136,28.0,0.0,4
adnan januzaj,2015,62,0.0,0.0,0
adnan januzaj,2016,28,4.0,0.0,1
adnan januzaj,2017,59,12.0,0.0,0
adnane tighadouini,2016,26,0.0,0.0,1
adrian mariappa,2014,58,20.0,0.0,1
adrian mariappa,2015,25,12.0,0.0,0
adrian mariappa,2016,8,0.0,0.0,0
adrian stoian,2013,64,4.0,0.0,3
adrian stoian,2014,35,8.0,0.0,0
adrian stoian,2017,33,8.0,0.0,1
adriano,2012,64,12.0,0.0,1
adriano,2013,66,12.0,0.0,5
adriano,2014,110,32.0,0.0,3
adriano,2015,44,8.0,0.0,0
adriano,2016,17,0.0,0.0,0
adriano russo,2016,22,8.0,0.0,1
adrien hunou,2014,43,4.0,0.0,0
adrien hunou,2017,46,8.0,0.0,1
adrien rabiot,2013,67,8.0,0.0,1
adrien rabiot,2014,78,8.0,0.0,2
adrien rabiot,2015,64,4.0,0.0,4
adrien rabiot,2016,76,16.0,0.0,1
