,Year,Team Initials,Team Name,Home Team Goals,Away Team Goals,Total_goals
0,1930.0,ARG,Argentina,16.0,2.0,18.0
1,1930.0,BEL,Belgium,0.0,0.0,0.0
2,1930.0,BOL,Bolivia,0.0,0.0,0.0
3,1930.0,BRA,Brazil,4.0,1.0,5.0
4,1930.0,CHI,Chile,4.0,1.0,5.0
5,1930.0,FRA,France,4.0,0.0,4.0
6,1930.0,MEX,Mexico,0.0,4.0,4.0
7,1930.0,PAR,Paraguay,1.0,0.0,1.0
8,1930.0,PER,Peru,0.0,1.0,1.0
9,1930.0,ROU,Romania,3.0,0.0,3.0
10,1930.0,URU,Uruguay,15.0,0.0,15.0
11,1930.0,USA,USA,6.0,1.0,7.0
12,1930.0,YUG,Yugoslavia,6.0,1.0,7.0
13,1934.0,ARG,Argentina,0.0,2.0,2.0
14,1934.0,AUT,Austria,5.0,2.0,7.0
15,1934.0,BEL,Belgium,0.0,2.0,2.0
16,1934.0,BRA,Brazil,0.0,1.0,1.0
17,1934.0,EGY,Egypt,0.0,2.0,2.0
18,1934.0,ESP,Spain,3.0,1.0,4.0
19,1934.0,FRA,France,0.0,2.0,2.0
20,1934.0,GER,Germany,10.0,1.0,11.0
21,1934.0,HUN,Hungary,4.0,1.0,5.0
22,1934.0,ITA,Italy,12.0,0.0,12.0
23,1934.0,NED,Netherlands,0.0,2.0,2.0
24,1934.0,ROU,Romania,0.0,1.0,1.0
25,1934.0,SUI,Switzerland,3.0,2.0,5.0
26,1934.0,SWE,Sweden,3.0,1.0,4.0
27,1934.0,TCH,Czechoslovakia,8.0,1.0,9.0
28,1934.0,USA,USA,0.0,1.0,1.0
29,1938.0,BEL,Belgium,0.0,1.0,1.0
30,1938.0,BRA,Brazil,13.0,1.0,14.0
31,1938.0,CUB,Cuba,5.0,0.0,5.0
32,1938.0,FRA,France,3.0,1.0,4.0
33,1938.0,GER,Germany,0.0,3.0,3.0
34,1938.0,HUN,Hungary,13.0,2.0,15.0
35,1938.0,INH,Dutch East Indies,0.0,0.0,0.0
36,1938.0,ITA,Italy,11.0,0.0,11.0
37,1938.0,NED,Netherlands,0.0,0.0,0.0
38,1938.0,NOR,Norway,0.0,1.0,1.0
39,1938.0,POL,Poland,0.0,5.0,5.0
40,1938.0,ROU,Romania,0.0,4.0,4.0
41,1938.0,SUI,Switzerland,5.0,0.0,5.0
42,1938.0,SWE,Sweden,8.0,3.0,11.0
43,1938.0,TCH,Czechoslovakia,3.0,2.0,5.0
44,1950.0,BOL,Bolivia,0.0,0.0,0.0
45,1950.0,BRA,Brazil,21.0,1.0,22.0
46,1950.0,CHI,Chile,5.0,0.0,5.0
47,1950.0,ENG,England,2.0,0.0,2.0
48,1950.0,ESP,Spain,6.0,4.0,10.0
49,1950.0,ITA,Italy,2.0,2.0,4.0
50,1950.0,MEX,Mexico,0.0,2.0,2.0
51,1950.0,PAR,Paraguay,0.0,2.0,2.0
52,1950.0,SUI,Switzerland,2.0,2.0,4.0
53,1950.0,SWE,Sweden,8.0,3.0,11.0
54,1950.0,URU,Uruguay,15.0,0.0,15.0
55,1950.0,USA,USA,1.0,3.0,4.0
56,1950.0,YUG,Yugoslavia,7.0,0.0,7.0
57,1954.0,AUT,Austria,16.0,1.0,17.0
58,1954.0,BEL,Belgium,0.0,5.0,5.0
59,1954.0,BRA,Brazil,6.0,2.0,8.0
60,1954.0,ENG,England,6.0,2.0,8.0
61,1954.0,FRA,France,3.0,0.0,3.0
62,1954.0,FRG,Germany FR,22.0,3.0,25.0
63,1954.0,HUN,Hungary,25.0,2.0,27.0
64,1954.0,ITA,Italy,4.0,2.0,6.0
65,1954.0,KOR,Korea Republic,0.0,0.0,0.0
66,1954.0,MEX,Mexico,0.0,2.0,2.0
67,1954.0,SCO,Scotland,0.0,0.0,0.0
68,1954.0,SUI,Switzerland,6.0,5.0,11.0
69,1954.0,TCH,Czechoslovakia,0.0,0.0,0.0
70,1954.0,TUR,Turkey,7.0,3.0,10.0
71,1954.0,URU,Uruguay,13.0,3.0,16.0
72,1954.0,YUG,Yugoslavia,1.0,1.0,2.0
73,1958.0,ARG,Argentina,4.0,1.0,5.0
74,1958.0,AUT,Austria,0.0,2.0,2.0
75,1958.0,BRA,Brazil,16.0,0.0,16.0
76,1958.0,ENG,England,2.0,2.0,4.0
77,1958.0,FRA,France,19.0,4.0,23.0
78,1958.0,FRG,Germany FR,5.0,7.0,12.0
79,1958.0,HUN,Hungary,5.0,2.0,7.0
80,1958.0,MEX,Mexico,1.0,0.0,1.0
81,1958.0,NIR,Northern Ireland,3.0,3.0,6.0
82,1958.0,PAR,Paraguay,6.0,3.0,9.0
83,1958.0,SCO,Scotland,0.0,4.0,4.0
84,1958.0,SWE,Sweden,10.0,2.0,12.0
85,1958.0,TCH,Czechoslovakia,6.0,3.0,9.0
86,1958.0,URS,Soviet Union,5.0,0.0,5.0
87,1958.0,WAL,Wales,2.0,2.0,4.0
88,1958.0,YUG,Yugoslavia,4.0,3.0,7.0
89,1962.0,ARG,Argentina,1.0,1.0,2.0
90,1962.0,BRA,Brazil,14.0,0.0,14.0
91,1962.0,BUL,Bulgaria,0.0,1.0,1.0
92,1962.0,CHI,Chile,8.0,2.0,10.0
93,1962.0,COL,Colombia,0.0,5.0,5.0
94,1962.0,ENG,England,3.0,2.0,5.0
95,1962.0,ESP,Spain,1.0,1.0,2.0
96,1962.0,FRG,Germany FR,4.0,0.0,4.0
97,1962.0,HUN,Hungary,8.0,0.0,8.0
98,1962.0,ITA,Italy,3.0,0.0,3.0
99,1962.0,MEX,Mexico,3.0,0.0,3.0
100,1962.0,SUI,Switzerland,0.0,2.0,2.0
101,1962.0,TCH,Czechoslovakia,5.0,2.0,7.0
102,1962.0,URS,Soviet Union,8.0,1.0,9.0
103,1962.0,URU,Uruguay,2.0,2.0,4.0
104,1962.0,YUG,Yugoslavia,9.0,1.0,10.0
105,1966.0,ARG,Argentina,4.0,0.0,4.0
106,1966.0,BRA,Brazil,2.0,2.0,4.0
107,1966.0,BUL,Bulgaria,0.0,1.0,1.0
108,1966.0,CHI,Chile,0.0,2.0,2.0
109,1966.0,ENG,England,11.0,0.0,11.0
110,1966.0,ESP,Spain,2.0,2.0,4.0
111,1966.0,FRA,France,1.0,1.0,2.0
112,1966.0,FRG,Germany FR,13.0,2.0,15.0
113,1966.0,HUN,Hungary,6.0,2.0,8.0
114,1966.0,ITA,Italy,2.0,0.0,2.0
115,1966.0,MEX,Mexico,0.0,1.0,1.0
116,1966.0,POR,Portugal,16.0,1.0,17.0
117,1966.0,PRK,Korea DPR,2.0,3.0,5.0
118,1966.0,SUI,Switzerland,0.0,1.0,1.0
119,1966.0,URS,Soviet Union,8.0,2.0,10.0
120,1966.0,URU,Uruguay,2.0,0.0,2.0
121,1970.0,BEL,Belgium,3.0,1.0,4.0
122,1970.0,BRA,Brazil,19.0,0.0,19.0
123,1970.0,BUL,Bulgaria,1.0,4.0,5.0
124,1970.0,ENG,England,2.0,2.0,4.0
125,1970.0,FRG,Germany FR,14.0,3.0,17.0
126,1970.0,ISR,Israel,0.0,1.0,1.0
127,1970.0,ITA,Italy,9.0,1.0,10.0
128,1970.0,MAR,Morocco,0.0,2.0,2.0
129,1970.0,MEX,Mexico,5.0,1.0,6.0
130,1970.0,PER,Peru,6.0,3.0,9.0
131,1970.0,ROU,Romania,2.0,2.0,4.0
132,1970.0,SLV,El Salvador,0.0,0.0,0.0
133,1970.0,SWE,Sweden,2.0,0.0,2.0
134,1970.0,TCH,Czechoslovakia,0.0,2.0,2.0
135,1970.0,URS,Soviet Union,6.0,0.0,6.0
136,1970.0,URU,Uruguay,3.0,1.0,4.0
137,1974.0,ARG,Argentina,7.0,2.0,9.0
